Wall time,Step,Value
1654393748.4951272,72171,-66.0
1654393750.722351,72270,86.0
1654393755.2257392,72468,-8.0
1654393757.4469142,72567,-46.0
1654393759.6883304,72666,70.0
1654393770.9288628,73161,112.0
1654393786.8422892,73755,28.0
1654393832.0925415,75735,-4.0
1654393860.620339,76824,-6.0
1654393862.8213642,76923,-18.0
1654393867.5617275,77121,-66.0
1654393872.4564428,77319,18.0
1654393877.0513422,77517,8.0
1654393890.9937298,78111,34.0
1654393928.2780883,79695,34.0
1654393930.4481676,79794,-10.0
1654393934.8979323,79992,-24.0
1654393941.9402714,80289,-84.0
1654393961.91085,81180,46.0
1654393990.708236,82467,-66.0
1654394007.9636178,83259,0.0
1654394014.3175182,83556,54.0
1654394044.2427053,84942,-4.0
1654394054.9102995,85437,84.0
1654394063.4380348,85833,126.0
1654394074.1785874,86328,-2.0
1654394103.3608088,87615,36.0
1654394107.8582907,87813,-38.0
1654394121.2818332,88407,10.0
1654394128.316989,88704,34.0
1654394132.9623775,88902,-10.0
1654394140.0756998,89298,58.0
1654394142.3314393,89397,20.0
1654394156.7268717,89991,-66.0
1654394211.0657878,92169,-12.0
1654394215.4104083,92367,-40.0
1654394237.1985354,93357,158.0
1654394253.1274016,94050,-24.0
1654394285.5601568,95436,-44.0
1654394323.0098975,97020,-54.0
1654394329.7559826,97317,44.0
1654394351.6862903,98307,44.0
1654394356.5309134,98505,-12.0
1654394365.993101,99000,84.0
1654394372.4958262,99297,-6.0
1654394376.8352113,99495,46.0
1654394400.6352692,100584,-62.0
1654394415.7961931,101277,86.0
1654394424.4149928,101673,-60.0
1654394428.7788606,101871,-56.0
1654394446.4760706,102663,-66.0
1654394448.7277918,102762,30.0
1654394493.039888,104643,16.0
1654394502.4142413,105039,-6.0
1654394524.213101,106029,52.0
1654394526.358231,106128,-4.0
1654394530.5809834,106326,16.0
1654394539.1319091,106722,40.0
1654394558.6159756,107613,82.0
1654394584.3405893,108801,122.0
1654394591.1729894,109197,158.0
1654394595.5097413,109395,24.0
1654394602.25058,109692,-6.0
1654394606.5744245,109890,-6.0
1654394610.8566236,110088,46.0
1654394632.310006,111078,64.0
1654394634.467521,111177,34.0
1654394640.871333,111474,70.0
1654394643.0598483,111573,92.0
1654394649.5360546,111870,30.0
1654394655.972267,112167,102.0
1654394660.2754867,112365,104.0
1654394671.0237267,112860,2.0
1654394686.1239376,113553,30.0
1654394696.91179,114048,22.0
1654394699.0932808,114147,64.0
1654394724.8658373,115335,80.0
1654394746.4595735,116325,74.0
1654394750.8023517,116523,82.0
1654394752.9760277,116622,26.0
1654394768.0768294,117315,34.0
1654394778.9146154,117810,34.0
1654394787.618094,118206,62.0
1654394789.7383752,118305,64.0
1654394813.6724668,119493,-4.0
1654394830.8150723,120285,160.0
1654394839.49078,120681,88.0
1654394850.1795588,121176,60.0
1654394854.5659401,121374,112.0
1654394863.166741,121770,-16.0
1654394895.4262345,123255,54.0
1654394899.9890094,123453,54.0
1654394910.783919,123948,40.0
1654394912.9186502,124047,114.0
1654394917.195166,124245,78.0
1654394923.731081,124542,50.0
1654394932.339411,124938,102.0
1654394945.2212555,125532,92.0
1654394953.8182385,125928,38.0
1654394964.5651553,126423,100.0
1654394977.489779,127017,120.0
1654394983.9048188,127314,120.0
1654394994.6567054,127809,40.0
1654395000.9972703,128106,114.0
1654395011.6977654,128601,82.0
1654395018.5659883,128997,64.0
1654395027.1168952,129393,44.0
1654395046.3966825,130284,196.0
1654395061.3910413,130977,100.0
1654395067.8267846,131274,52.0
1654395069.952929,131373,82.0
1654395089.2117054,132264,46.0
1654395112.7536623,133254,4.0
1654395131.9037497,134145,102.0
