time,Step,Reward
1654393100.3501017,43758,10.009716033935547
1654393104.8135285,43956,11.539727210998535
1654393107.0270665,44055,7.174238204956055
1654393111.4727497,44253,7.710777282714844
1654393121.6593783,44649,7.26361083984375
1654393126.1189947,44847,8.0856351852417
1654393128.5408373,44946,7.870532035827637
1654393130.825595,45045,5.804755210876465
1654393135.275355,45243,5.125786781311035
1654393144.255008,45639,6.683564186096191
1654393146.4756107,45738,7.808935642242432
1654393155.3538506,46134,3.5752360820770264
1654393157.5739312,46233,4.021895885467529
1654393162.0086432,46431,12.225626945495605
1654393166.4734597,46629,14.311819076538086
1654393175.4427438,47025,10.54617691040039
1654393177.6696756,47124,10.836736679077148
1654393184.3611553,47421,3.5259361267089844
1654393186.5811064,47520,10.373088836669922
1654393188.8009531,47619,10.252117156982422
1654393191.000208,47718,15.84660530090332
1654393195.4693604,47916,8.281686782836914
1654393197.6865861,48015,6.557469844818115
1654393204.3737319,48312,5.537177085876465
1654393206.617236,48411,10.540961265563965
1654393208.8275452,48510,2.962961435317993
1654393213.3150592,48708,4.5713210105896
1654393219.982157,49005,6.239035606384277
1654393229.0000813,49401,6.8974432945251465
1654393236.0729806,49797,6.9685444831848145
1654393238.32563,49896,10.400374412536621
1654393245.9501293,50193,7.118927955627441
1654393252.9512448,50490,9.24030590057373
1654393255.1761768,50589,7.214130878448486
1654393257.599777,50688,13.67139720916748
1654393259.8405674,50787,11.039312362670898
1654393262.108576,50886,9.447237014770508
1654393264.3503232,50985,4.963545799255371
1654393271.1808593,51282,6.560678482055664
1654393273.4268916,51381,10.593822479248047
1654393275.6577964,51480,7.404850959777832
1654393277.917519,51579,8.296730995178223
1654393284.6631327,51876,16.932491302490234
1654393301.662989,52569,6.066153526306152
1654393308.5224435,52866,5.834773063659668
1654393310.7141118,52965,4.455777645111084
1654393315.1994083,53163,10.10050106048584
1654393317.424942,53262,9.776174545288086
1654393319.6897798,53361,8.335368156433105
1654393324.1594543,53559,9.815622329711914
1654393328.6311505,53757,9.824064254760742
1654393333.1030047,53955,4.9100542068481445
1654393337.5229197,54153,11.620790481567383
1654393339.7534428,54252,13.02730655670166
1654393346.4006233,54549,14.520856857299805
1654393350.851182,54747,14.540146827697754
1654393357.6497333,55044,6.964611530303955
1654393359.86286,55143,8.483735084533691
1654393373.3194082,55737,12.947805404663086
1654393375.5369132,55836,10.745525360107422
1654393377.7667556,55935,4.897037029266357
1654393386.7105062,56331,6.2271037101745605
1654393393.5210817,56628,13.410435676574707
1654393397.9610095,56826,11.15999984741211
1654393404.6458058,57123,13.49111557006836
1654393413.6668904,57519,9.958343505859375
1654393423.112138,57915,10.041513442993164
1654393425.9749877,58014,11.470232009887695
1654393428.2141855,58113,10.798802375793457
1654393432.6648107,58311,15.56251049041748
1654393437.3245823,58509,14.268654823303223
1654393439.525035,58608,11.60875129699707
1654393441.7779458,58707,5.828736782073975
1654393446.2596948,58905,12.30123519897461
1654393450.8181238,59103,14.275819778442383
1654393455.3624582,59301,9.569415092468262
1654393455.8084223,59400,8.64461612701416
1654393462.4659314,59697,11.303274154663086
1654393464.7286565,59796,9.71532154083252
1654393476.008102,60291,10.689098358154297
1654393481.739042,60489,15.460695266723633
1654393488.5537176,60786,13.48662281036377
1654393490.8435736,60885,4.31671142578125
1654393495.3810074,61083,13.399368286132812
1654393499.8045373,61281,9.350037574768066
1654393504.270424,61479,7.9242401123046875
