Wall time,Step,Value
1653773708.710689,3566,72.0
1653773711.0629883,3569,24.0
1653773717.0670025,3576,116.0
1653773726.3178303,3588,226.0
1653773736.724265,3600,110.0
1653773747.5653675,3613,2.0
1653773747.9972324,3614,98.0
1653773749.903598,3616,120.0
1653773762.1783352,3630,34.0
1653773782.1584296,3654,114.0
1653773784.4965763,3657,106.0
1653773786.4216871,3659,86.0
1653773788.3455846,3661,216.0
1653773790.6782246,3664,192.0
1653773793.507585,3668,126.0
1653773796.908244,3671,90.0
1653773812.488867,3690,56.0
1653773820.8900936,3700,54.0
1653773830.3123455,3712,46.0
1653773834.6108344,3717,106.0
1653773858.3433685,3745,64.0
1653773859.830982,3746,186.0
1653773860.7801604,3748,146.0
1653773865.001735,3753,118.0
1653773866.4392352,3754,90.0
1653773871.574747,3761,38.0
1653773873.4825842,3763,46.0
1653773888.237504,3780,106.0
1653773889.1463103,3782,48.0
1653773890.5981226,3783,86.0
1653773893.2784064,3787,-76.0
1653773896.5706408,3790,154.0
1653773914.8447883,3813,12.0
1653773923.3447938,3823,18.0
1653773944.5413165,3848,142.0
1653773946.4498596,3850,60.0
1653773954.9861865,3860,150.0
1653773962.015488,3869,102.0
1653773964.336586,3872,162.0
1653773990.052261,3902,56.0
1653773997.0580926,3911,44.0
1653774000.9008687,3915,80.0
1653774005.6876616,3921,136.0
1653774016.0404034,3933,186.0
1653774018.361124,3936,132.0
1653774032.9341767,3953,110.0
1653774035.8276188,3957,138.0
1653774043.8033602,3966,96.0
1653774050.8687663,3975,36.0
1653774055.5390246,3981,68.0
1653774081.5963619,4012,70.0
1653774083.50251,4014,114.0
1653774091.6096354,4023,52.0
1653774100.6164277,4034,48.0
1653774105.315665,4040,36.0
1653774111.423354,4047,52.0
1653774142.2009523,4084,70.0
1653774163.4893079,4109,136.0
1653774168.2081742,4115,68.0
1653774173.9089212,4121,100.0
1653774176.2123277,4124,104.0
1653774194.1645916,4146,-10.0
1653774202.69144,4156,72.0
1653774223.9931405,4181,148.0
1653774233.1711922,4192,122.0
1653774245.9796255,4207,150.0
1653774257.4158723,4221,18.0
1653774263.1096232,4227,138.0
1653774278.854007,4246,108.0
1653774281.3070095,4249,82.0
1653774283.6363926,4252,68.0
1653774285.0977788,4253,72.0
1653774287.9028478,4257,84.0
1653774307.6339917,4281,56.0
1653774339.3608522,4318,50.0
1653774343.730508,4323,104.0
1653774348.0400424,4328,134.0
1653774352.6820874,4334,86.0
1653774388.1124325,4376,36.0
1653774390.4834483,4379,92.0
1653774404.7301188,4395,32.0
1653774411.358332,4403,118.0
1653774414.1482222,4407,-4.0
1653774427.0861778,4422,112.0
1653774428.9922945,4424,104.0
1653774438.0249133,4435,70.0
1653774444.76709,4443,56.0
1653774453.8799658,4454,58.0
1653774464.4438393,4466,112.0
1653774484.1127777,4489,92.0
1653774488.8764303,4495,52.0
1653774492.6560426,4499,98.0
1653774505.5308888,4514,-40.0
1653774514.630832,4525,50.0
1653774523.2370293,4535,100.0
1653774526.0472689,4539,126.0
1653774545.7127483,4562,158.0
1653774547.6115305,4564,2.0
1653774550.3888395,4568,134.0
1653774556.021081,4574,54.0
1653774562.6077878,4582,142.0
1653774582.2283645,4606,144.0
1653774584.5316582,4609,132.0
1653774586.8967214,4612,42.0
1653774618.3037386,4649,130.0
1653774622.52881,4654,78.0
1653774625.2757027,4658,62.0
1653774626.7927985,4659,118.0
1653774629.0918021,4662,60.0
1653774633.2465837,4667,32.0
1653774642.1431348,4678,70.0
1653774648.7325594,4686,70.0
1653774652.5220516,4690,78.0
1653774653.3724253,4692,52.0
1653774659.0905719,4698,94.0
1653774665.632005,4706,48.0
1653774666.1091094,4707,144.0
1653774670.7721815,4713,58.0
1653774674.1878603,4716,84.0
1653774685.3813436,4730,62.0
1653774691.4247665,4737,76.0
1653774709.102991,4759,112.0
1653774715.1942801,4766,194.0
1653774719.7743244,4772,18.0
1653774723.5182307,4776,46.0
1653774723.942318,4777,142.0
1653774747.1927738,4804,120.0
1653774749.5474458,4807,112.0
1653774751.7963226,4810,62.0
1653774755.621392,4814,66.0
1653774768.7968652,4830,18.0
1653774770.6960235,4832,48.0
1653774771.5600479,4834,80.0
1653774773.0270967,4835,56.0
1653774773.4884,4836,56.0
1653774779.5193222,4843,94.0
1653774779.963232,4844,-46.0
1653774794.9989595,4862,58.0
1653774811.903505,4882,112.0
1653774822.7876241,4895,14.0
1653774835.4264836,4910,78.0
1653774851.0205822,4929,78.0
1653774854.8684824,4933,112.0
1653774859.9886801,4940,90.0
1653774863.6327758,4944,104.0
1653774867.8489866,4949,72.0
1653774893.7727706,4980,94.0
1653774902.3204608,4990,114.0
1653774902.7873046,4991,122.0
1653774929.3416145,5023,132.0
1653774950.02735,5047,78.0
1653774961.3577156,5061,56.0
1653774965.5859003,5066,56.0
1653774976.4341295,5079,106.0
1653774976.866976,5080,86.0
1653774984.563119,5088,56.0
1653774985.4763215,5090,110.0
1653774989.7555885,5095,134.0
1653775021.6242607,5132,168.0
1653775024.5080514,5136,146.0
1653775028.4054704,5140,132.0
1653775037.6896188,5151,120.0
1653775038.1417816,5152,106.0
1653775040.0432537,5154,134.0
1653775040.4889178,5155,56.0
1653775068.0389817,5187,144.0
1653775077.3134108,5198,136.0
1653775079.3143704,5200,104.0
1653775083.7534811,5205,160.0
1653775085.7175035,5207,102.0
1653775089.0921264,5212,84.0
1653775094.856953,5218,150.0
1653775099.9495971,5225,88.0
1653775112.1304722,5238,108.0
1653775123.9256945,5253,110.0
1653775128.1417627,5258,112.0
1653775132.0506885,5262,60.0
1653775134.496127,5265,122.0
1653775152.8668494,5286,154.0
1653775161.2575524,5295,112.0
1653775162.1788843,5297,90.0
1653775180.0468462,5318,146.0
1653775181.5845613,5319,114.0
1653775183.8950865,5322,56.0
1653775185.8233798,5324,84.0
1653775188.6567905,5328,110.0
1653775194.369517,5334,72.0
1653775217.7510564,5362,122.0
1653775223.6177583,5368,56.0
1653775225.6018057,5370,122.0
1653775244.868499,5393,56.0
1653775253.1002586,5402,56.0
1653775253.5554962,5403,70.0
1653775265.8663552,5417,122.0
1653775271.002797,5424,110.0
1653775289.877557,5445,134.0
1653775295.3263543,5452,56.0
1653775297.2607543,5454,56.0
1653775299.7164986,5457,98.0
1653775301.7491846,5459,80.0
1653775340.3714776,5504,118.0
1653775344.8951826,5509,56.0
1653775346.3512764,5510,62.0
1653775351.5765884,5517,114.0
1653775355.3820922,5521,56.0
