Wall_time,Episodes,Gold
1653673612.9250667,3019,-64.0
1653673638.5354648,3034,6.0
1653673660.560059,3047,54.0
1653673723.6441011,3083,54.0
1653673726.6784384,3084,56.0
1653673747.1854503,3096,4.0
1653673759.012376,3103,-74.0
1653673761.0186086,3104,-62.0
1653673762.2334564,3105,84.0
1653673779.8061097,3115,34.0
1653673786.1971476,3119,-84.0
1653673787.4234648,3120,38.0
1653673789.4258885,3121,-10.0
1653673798.2578661,3126,134.0
1653673801.593359,3128,54.0
1653673833.6087463,3145,16.0
1653673880.9423661,3173,40.0
1653673889.4113786,3178,24.0
1653673914.0768507,3192,-8.0
1653673928.9597409,3199,4.0
1653673939.0194988,3204,6.0
1653673963.0452597,3217,70.0
1653673968.8014529,3220,-40.0
1653673972.355555,3222,22.0
1653673984.3901248,3229,56.0
1653674005.0502627,3241,106.0
1653674046.8141541,3265,-14.0
1653674051.332462,3268,-8.0
1653674118.0877478,3306,36.0
1653674175.2814276,3340,32.0
1653674201.8570027,3356,64.0
1653674217.2790482,3365,-26.0
1653674232.5090778,3374,-12.0
1653674241.1336267,3379,46.0
1653674249.6665206,3384,32.0
1653674250.8803563,3385,-64.0
1653674264.9750354,3393,-4.0
1653674283.6026394,3404,56.0
1653674306.391067,3418,-6.0
1653674312.9331071,3422,2.0
1653674320.351353,3426,-6.0
1653674338.5661125,3434,2.0
1653674347.5579157,3439,-6.0
1653674385.3353827,3461,20.0
1653674397.4201877,3468,10.0
1653674425.9759512,3483,6.0
1653674427.3151255,3484,-12.0
1653674429.3966475,3485,50.0
1653674440.343591,3491,80.0
1653674443.7950752,3493,30.0
1653674455.9163275,3500,30.0
1653674502.1094472,3526,48.0
1653674534.4485574,3544,72.0
1653674544.0899084,3550,68.0
1653674557.6967459,3558,-24.0
1653674570.6975894,3566,8.0
1653674575.954834,3569,22.0
1653674587.8803627,3576,-32.0
1653674606.989555,3587,120.0
1653674608.2192829,3588,44.0
1653674629.729263,3600,30.0
1653674652.487412,3613,140.0
1653674653.6930761,3614,128.0
1653674657.7951233,3616,36.0
1653674680.6178613,3630,8.0
1653674720.960288,3654,26.0
1653674726.2610233,3657,60.0
1653674729.5608923,3659,-30.0
1653674732.9586625,3661,-6.0
1653674738.2316132,3664,-6.0
1653674744.7687962,3668,16.0
1653674750.0649366,3671,26.0
1653674751.2736814,3672,28.0
1653674781.501087,3690,146.0
1653674797.83216,3700,14.0
1653674818.3857892,3712,-14.0
1653674826.9861045,3717,-66.0
1653674874.746309,3745,54.0
1653674876.8042498,3746,-4.0
1653674880.0922966,3748,32.0
1653674887.8119366,3753,66.0
1653674889.8251464,3754,4.0
1653674901.5790415,3761,18.0
1653674904.9769433,3763,64.0
1653674933.1881585,3780,-10.0
1653674936.5224879,3782,4.0
1653674938.5675583,3783,34.0
1653674945.086571,3787,4.0
1653674950.3274062,3790,44.0
1653674988.704103,3813,86.0
1653675005.4534934,3823,78.0
1653675046.630544,3848,162.0
1653675050.7460122,3850,30.0
1653675068.0789757,3860,36.0
1653675084.2213027,3869,42.0
1653675089.7126553,3872,84.0
1653675140.9027843,3902,58.0
1653675155.683682,3911,82.0
1653675162.2580824,3915,84.0
1653675171.879567,3921,56.0
1653675192.639641,3933,0.0
1653675198.1137989,3936,140.0
1653675229.063089,3953,20.0
1653675236.5079029,3957,-8.0
1653675251.901277,3966,-20.0
1653675267.6062417,3975,42.0
1653675278.5057862,3981,120.0
1653675332.2599587,4012,200.0
1653675335.7629225,4014,202.0
1653675350.8450103,4023,18.0
1653675369.4121323,4034,-28.0
1653675379.43944,4040,-12.0
1653675391.6239235,4047,112.0
1653675454.9851,4084,48.0
1653675498.1909184,4109,6.0
1653675508.2139118,4115,194.0
1653675522.8733149,4121,134.0
1653675528.6676853,4124,56.0
1653675568.7500196,4146,98.0
1653675591.9597528,4156,-16.0
1653675642.2116306,4181,104.0
1653675662.9332576,4192,12.0
1653675691.0241694,4207,124.0
1653675714.7055337,4221,18.0
1653675725.3441122,4227,-6.0
1653675756.846089,4246,34.0
1653675762.6104798,4249,-16.0
1653675767.837214,4252,74.0
1653675769.7649457,4253,110.0
1653675776.4023283,4257,144.0
1653675818.0931222,4281,36.0
1653675879.940261,4318,134.0
1653675888.3595543,4323,60.0
1653675896.9943066,4328,104.0
1653675906.9585273,4334,76.0
1653675986.1237183,4376,10.0
1653675991.7303836,4379,150.0
1653676021.095225,4395,38.0
1653676034.687673,4403,-32.0
1653676041.8194401,4407,48.0
1653676067.0699637,4422,-2.0
1653676070.3230393,4424,114.0
1653676092.434348,4435,44.0
1653676106.8617995,4443,66.0
1653676126.9482841,4454,68.0
1653676148.8469942,4466,104.0
1653676192.0079813,4489,80.0
1653676201.888227,4495,98.0
1653676208.5172186,4499,-66.0
1653676238.103432,4514,62.0
1653676257.4423318,4525,48.0
1653676275.8656268,4535,176.0
1653676282.689213,4539,98.0
1653676291.511118,4544,124.0
1653676323.7167242,4562,148.0
1653676326.9468677,4564,138.0
1653676333.3663785,4568,128.0
1653676343.0095017,4574,110.0
1653676357.7974524,4582,116.0
1653676399.4993687,4606,82.0
1653676405.056513,4609,60.0
1653676409.7097208,4612,60.0
1653676476.852838,4649,74.0
1653676485.867318,4654,100.0
1653676493.5815918,4658,156.0
1653676495.8452575,4659,182.0
1653676501.206693,4662,-2.0
1653676510.6227977,4667,106.0
1653676530.1707625,4678,88.0
1653676547.0218914,4686,128.0
1653676554.0186915,4690,94.0
