time,Episodes,Reward
1653874990.2459216,2528,14.874493598937988
1653874993.5642643,2530,14.790410041809082
1653875053.6094248,2566,14.979609489440918
1653875072.1147182,2577,15.16352653503418
1653875074.1759279,2578,15.160319328308105
1653875090.7699714,2588,15.118965148925781
1653875109.3151748,2599,15.083879470825195
1653875121.3342845,2606,15.096334457397461
1653875143.1352336,2619,14.901105880737305
1653875157.181887,2627,14.753944396972656
1653875158.4212322,2628,14.752285957336426
1653875170.4387555,2635,14.616092681884766
1653875177.105049,2639,14.538182258605957
1653875183.759758,2643,14.59835433959961
1653875216.5339012,2662,14.317702293395996
1653875229.9168258,2670,14.130640983581543
1653875232.0025144,2671,14.113828659057617
1653875236.5752435,2674,14.032440185546875
1653875248.668879,2681,13.960325241088867
1653875254.0737004,2684,13.955931663513184
1653875257.411259,2686,13.945097923278809
1653875262.7948813,2689,13.873578071594238
1653875269.4186182,2693,13.819278717041016
1653875284.9660912,2702,13.688085556030273
1653875295.1391127,2708,13.735973358154297
1653875303.8546216,2713,13.714134216308594
1653875310.3986413,2717,13.697575569152832
1653875330.4842947,2729,13.573346138000488
1653875332.6102755,2730,13.586121559143066
1653875339.2454624,2734,13.681962966918945
1653875348.0057015,2739,13.754447937011719
1653875349.2371466,2740,13.750447273254395
1653875372.01622,2753,13.521489143371582
1653875373.2374094,2754,13.541580200195312
1653875375.394274,2755,13.558338165283203
1653875383.2803612,2760,13.727110862731934
1653875391.8823717,2765,13.708675384521484
1653875397.2661762,2768,13.784880638122559
1653875413.8447125,2778,13.887497901916504
1653875425.89312,2785,13.759481430053711
1653875472.2155173,2812,14.025437355041504
1653875509.4897635,2834,14.213739395141602
1653875526.1786954,2844,14.171298027038574
1653875555.6839778,2861,14.036595344543457
1653875556.9282951,2862,14.050026893615723
1653875589.4567757,2881,14.158587455749512
1653875652.2813663,2918,14.183745384216309
1653875656.8821452,2921,14.227952003479004
1653875679.8293748,2934,14.188672065734863
1653875709.7853901,2952,14.275776863098145
1653875715.144397,2955,14.377610206604004
1653875727.2390802,2962,14.451605796813965
1653875732.5703561,2965,14.37465763092041
1653875745.8683717,2973,14.420180320739746
1653875767.9824176,2986,14.394392013549805
1653875784.7477593,2996,14.344305038452148
1653875824.3275018,3019,14.449175834655762
1653875849.8234127,3034,14.49566650390625
1653875871.9456007,3047,14.471588134765625
1653875933.6638224,3083,14.228710174560547
1653875935.8722315,3084,14.233903884887695
1653875967.893256,3103,14.072659492492676
1653875969.9894767,3104,14.05726146697998
1653875971.4168074,3105,14.029191017150879
1653875989.0473094,3115,13.909337043762207
1653875995.762079,3119,13.91079330444336
1653875997.0301864,3120,13.912843704223633
1653875999.0773394,3121,13.916259765625
1653876007.8667371,3126,13.8996000289917
1653876011.2158082,3128,13.894577980041504
1653876039.8523128,3145,13.883862495422363
1653876087.4071524,3173,13.726447105407715
1653876096.3574352,3178,13.767651557922363
1653876120.6357253,3192,13.761052131652832
1653876132.740142,3199,13.80722713470459
1653876140.6811836,3204,13.791374206542969
1653876162.7670717,3217,13.888916969299316
1653876168.2395105,3220,13.842390060424805
1653876171.6006434,3222,13.812707901000977
1653876183.7675617,3229,13.804828643798828
1653876203.8708336,3241,13.85766315460205
1653876245.688439,3265,13.847875595092773
1653876250.2822664,3268,13.881218910217285
1653876316.0477395,3306,14.245308876037598
1653876376.3743494,3340,14.295865058898926
1653876403.827344,3356,14.324637413024902
1653876435.4413266,3374,14.251983642578125
1653876444.4254694,3379,14.206233024597168
1653876453.591007,3384,14.171724319458008
1653876454.8804264,3385,14.122825622558594
1653876469.4245687,3393,13.985864639282227
1653876488.5453224,3404,13.760043144226074
1653876512.1810544,3418,13.597772598266602
1653876526.479859,3426,13.50680160522461
1653876539.9950452,3434,13.407150268554688
1653876548.890027,3439,13.369747161865234
1653876586.6736934,3461,13.355218887329102
1653876598.8259752,3468,13.384098052978516
1653876624.3423202,3483,13.388846397399902
1653876625.5616772,3484,13.401795387268066
1653876627.6462674,3485,13.448728561401367
1653876637.5502958,3491,13.477462768554688
1653876640.8743687,3493,13.611772537231445
1653876652.9334316,3500,13.765164375305176
1653876697.0846553,3526,14.04133129119873
1653876727.974989,3544,14.278487205505371
1653876738.1908321,3550,14.299322128295898
1653876765.7329855,3566,14.181473731994629
1653876771.2014265,3569,14.232269287109375
1653876783.4377198,3576,14.193986892700195
1653876803.219965,3588,13.78890323638916
1653876824.069201,3600,13.813961029052734
1653876846.2752883,3613,13.821915626525879
1653876847.4807885,3614,13.861540794372559
1653876851.6548684,3616,13.899785041809082
1653876874.9418154,3630,14.043530464172363
1653876915.651182,3654,14.010491371154785
1653876921.0310922,3657,14.146552085876465
1653876924.3510966,3659,14.148797035217285
1653876927.6613402,3661,14.189269065856934
1653876933.0871692,3664,14.189373016357422
1653876939.75302,3668,14.202340126037598
1653876945.1555026,3671,14.209765434265137
1653876977.332769,3690,14.542487144470215
1653876994.096654,3700,14.63432788848877
1653877014.8839176,3712,14.553013801574707
1653877023.6506195,3717,14.457139015197754
1653877071.823431,3745,14.369982719421387
1653877073.8883152,3746,14.370983123779297
1653877077.169823,3748,14.3902006149292
1653877085.1690342,3753,14.403607368469238
1653877087.2800565,3754,14.436729431152344
1653877099.385211,3761,14.37635326385498
1653877102.6942484,3763,14.392056465148926
1653877135.0529978,3782,14.350347518920898
1653877137.1103692,3783,14.351346969604492
1653877143.8075638,3787,14.370135307312012
1653877149.2246141,3790,14.314867973327637
1653877188.689832,3813,14.019662857055664
1653877206.3405929,3823,13.961020469665527
1653877248.5992785,3848,13.78731632232666
1653877252.8988574,3850,13.763650894165039
1653877269.7000446,3860,13.739110946655273
1653877285.199732,3869,13.868762969970703
1653877342.0787182,3902,14.041732788085938
1653877357.8058505,3911,14.048653602600098
1653877364.5559993,3915,14.00721549987793
1653877374.6703436,3921,14.027876853942871
1653877395.860269,3933,14.111069679260254
1653877401.3912823,3936,14.09872055053711
1653877430.3830829,3953,14.1885404586792
1653877437.148782,3957,14.277071952819824
1653877452.7974153,3966,14.275514602661133
1653877468.2956426,3975,13.99966049194336
1653877478.47848,3981,13.980576515197754
1653877532.6082206,4012,13.360965728759766
1653877536.0205557,4014,13.325271606445312
1653877551.6634388,4023,13.246199607849121
1653877570.5765574,4034,13.28620433807373
1653877580.7253003,4040,13.281102180480957
1653877593.0623631,4047,13.373246192932129
1653877656.8787255,4084,13.740388870239258
1653877700.4405003,4109,14.632702827453613
1653877710.542218,4115,14.682843208312988
1653877721.5049875,4121,14.721874237060547
1653877726.1609163,4124,14.795430183410645
1653877764.1363945,4146,14.392181396484375
1653877781.8776717,4156,13.85322093963623
1653877825.6898055,4181,13.45361614227295
1653877844.8410418,4192,13.411487579345703
1653877870.764999,4207,13.234843254089355
1653877894.728705,4221,13.687009811401367
1653877905.7228582,4227,13.671768188476562
1653877939.5385652,4246,14.186200141906738
1653877945.0557597,4249,14.407302856445312
1653877949.819682,4252,14.517688751220703
1653877958.74564,4257,14.747152328491211
1653878000.5345807,4281,14.888021469116211
1653878065.3770902,4318,14.593445777893066
1653878074.3835387,4323,14.412420272827148
1653878083.5319066,4328,14.33757209777832
1653878093.810228,4334,14.046836853027344
1653878167.5059333,4376,13.885223388671875
1653878173.0804853,4379,14.038677215576172
1653878201.2904868,4395,13.769143104553223
1653878215.0255423,4403,13.869921684265137
1653878221.8510756,4407,13.874434471130371
1653878247.838948,4422,14.186365127563477
1653878251.3680372,4424,14.219136238098145
1653878270.6775255,4435,14.506839752197266
1653878285.3841174,4443,14.681598663330078
1653878304.8192143,4454,14.767716407775879
1653878325.505515,4466,14.898202896118164
1653878366.5483372,4489,14.8219575881958
1653878376.9707308,4495,14.835887908935547
1653878430.5352912,4525,14.683030128479004
1653878447.7977262,4535,14.710627555847168
1653878454.6762204,4539,14.731209754943848
1653878499.2188418,4564,14.596322059631348
1653878506.0464067,4568,14.565733909606934
1653878516.388574,4574,14.583673477172852
1653878531.020164,4582,14.749509811401367
1653878573.457195,4606,14.54942512512207
1653878579.0109308,4609,14.60305118560791
1653878583.8677998,4612,14.627811431884766
1653878649.5846307,4649,14.464883804321289
1653878658.7426,4654,14.399609565734863
1653878665.6823058,4658,14.51025676727295
1653878667.8959222,4659,14.563020706176758
1653878673.5804617,4662,14.570013999938965
1653878682.1137276,4667,14.651840209960938
1653878701.7207122,4678,14.379344940185547
1653878716.5716844,4686,14.457538604736328
1653878723.5653195,4690,14.466752052307129
1653878727.161611,4692,14.487829208374023
1653878737.6521947,4698,14.483956336975098
1653878752.7392359,4706,14.440463066101074
1653878754.0507643,4707,14.451157569885254
1653878764.5373642,4713,14.377616882324219
1653878770.1597052,4716,14.380406379699707
1653878795.3595397,4730,14.243922233581543
1653878807.964147,4737,14.364531517028809
1653878847.108342,4759,14.142260551452637
1653878858.67263,4766,14.048681259155273
1653878869.9864252,4772,14.044843673706055
1653878877.0929832,4776,14.060528755187988
1653878878.4074295,4777,14.09052848815918
1653878926.969003,4804,14.280573844909668
1653878932.6042159,4807,14.243900299072266
1653878938.1957061,4810,14.305657386779785
1653878945.125758,4814,14.351963996887207
1653878972.9804883,4830,14.409249305725098
1653878977.3676302,4832,14.37360954284668
1653878980.8264558,4834,14.355100631713867
1653878982.1312172,4835,14.358105659484863
1653878984.3903568,4836,14.361078262329102
1653878998.3683548,4844,14.390528678894043
1653879066.3115315,4882,14.25278091430664
1653879089.3247554,4895,14.165513038635254
1653879115.9180846,4910,14.0341796875
1653879150.205001,4929,13.85235595703125
1653879157.133277,4933,13.926937103271484
1653879169.7316444,4940,13.742362022399902
1653879176.6469946,4944,13.708969116210938
1653879185.8475592,4949,13.803662300109863
1653879240.0465546,4980,14.127763748168945
1653879258.2534227,4990,14.27352523803711
1653879260.3875165,4991,14.28552532196045
1653879316.7299452,5023,14.542793273925781
1653879359.807799,5047,14.666540145874023
1653879385.0024402,5061,14.724946975708008
1653879394.0273504,5066,14.807198524475098
1653879417.0755963,5079,14.790498733520508
1653879418.4084463,5080,14.707592964172363
1653879433.144363,5088,14.75326919555664
1653879436.6233647,5090,14.757620811462402
1653879444.8984804,5095,14.766312599182129
1653879511.65771,5132,14.670345306396484
1653879518.600215,5136,14.784207344055176
1653879525.638015,5140,14.77865982055664
1653879545.383782,5151,14.794134140014648
1653879547.5047824,5152,14.811633110046387
1653879551.011062,5154,14.804019927978516
1653879552.302496,5155,14.79047966003418
1653879610.0493062,5187,14.274223327636719
1653879629.8821964,5198,14.20328140258789
1653879633.3908737,5200,14.25810432434082
1653879642.5478709,5205,14.227100372314453
1653879646.0254018,5207,14.197774887084961
1653879654.511939,5212,14.170539855957031
1653879665.916827,5218,13.724625587463379
1653879677.8259246,5225,13.541131019592285
1653879701.9537995,5238,13.620787620544434
1653879728.838038,5253,13.609086990356445
1653879738.147544,5258,13.637301445007324
1653879745.1469998,5262,13.616012573242188
1653879750.030723,5265,13.657955169677734
1653879788.5097313,5286,13.961832046508789
1653879804.7853377,5295,13.97636604309082
1653879845.9113588,5318,14.641144752502441
1653879848.1466975,5319,14.643746376037598
1653879853.9452777,5322,14.84814453125
1653879857.454691,5324,14.737607955932617
1653879864.5133164,5328,14.687210083007812
1653879875.1408536,5334,14.6314697265625
1653879925.910596,5362,14.653691291809082
1653879941.0488408,5370,14.595744132995605
1653879982.8226244,5393,14.340630531311035
1653879999.3416255,5402,14.377626419067383
1653880001.5790405,5403,14.38720417022705
1653880026.4412706,5417,14.322688102722168
1653880039.390058,5424,14.307592391967773
1653880078.2173414,5445,14.26758861541748
1653880091.220532,5452,14.281322479248047
1653880094.7660823,5454,14.211528778076172
1653880099.6761928,5457,13.994537353515625
1653880103.1998017,5459,13.892396926879883
1653880185.9189131,5504,13.489336967468262
1653880195.3706994,5509,13.456757545471191
1653880196.6936386,5510,13.443903923034668
1653880209.6431012,5517,13.500219345092773
1653880216.8656397,5521,13.591662406921387
1653880220.46313,5523,13.61181640625
1653880260.8847349,5545,13.785527229309082
1653880302.4771159,5567,14.603214263916016
1653880370.6768062,5604,15.635797500610352
1653880442.6770666,5643,16.13748550415039
1653880461.6155558,5653,16.30027961730957
1653880486.8715255,5667,16.361591339111328
1653880524.2016912,5687,16.53771209716797
1653880591.1214576,5723,16.540842056274414
1653880604.2931502,5730,16.584978103637695
1653880622.696334,5740,16.751693725585938
1653880645.2987447,5752,17.060951232910156
1653880650.305421,5755,17.17875099182129
1653880653.9474204,5757,17.374542236328125
1653880656.2425666,5758,17.419137954711914
1653880682.7509108,5772,17.74669647216797
1653880699.4632246,5781,18.083097457885742
1653880713.9578264,5789,18.163921356201172
1653880793.0834777,5832,18.998035430908203
1653880856.3611004,5866,18.777597427368164
1653880880.1157398,5879,18.661231994628906
1653880882.4085166,5880,18.643497467041016
1653880886.0043528,5882,18.66054916381836
1653881007.479425,5948,18.808734893798828
1653881016.9392865,5953,18.877796173095703
1653881021.8485022,5956,18.92238426208496
1653881037.2441628,5964,18.921415328979492
1653881068.2851975,5981,19.031272888183594
1653881085.0080845,5990,18.885391235351562
1653881098.0906417,5997,18.953596115112305
1653881108.8431554,6003,18.988643646240234
1653881119.5762525,6009,19.045461654663086
1653881121.8430505,6010,19.0419921875
1653881186.33437,6045,18.042396545410156
1653881200.6750605,6053,17.748029708862305
1653881243.4019732,6076,17.377643585205078
1653881246.9613924,6078,17.3277645111084
1653881249.2003508,6079,17.32497787475586
1653881300.4073796,6107,17.48259735107422
1653881307.5623097,6111,17.485300064086914
1653881311.1076894,6113,17.453536987304688
1653881348.6781864,6133,17.925579071044922
1653881358.024371,6138,17.988304138183594
1653881361.6180773,6140,18.0498046875
1653881365.2344704,6142,18.12232208251953
1653881412.6435816,6168,18.300151824951172
1653881480.5202396,6205,17.508562088012695
1653881492.1573474,6211,17.251733779907227
1653881510.1117957,6221,17.241992950439453
1653881517.3339164,6225,17.085914611816406
1653881525.4460533,6229,16.96324348449707
1653881537.610108,6236,16.860301971435547
1653881550.7148597,6243,16.65381622314453
1653881566.0146143,6251,16.559154510498047
1653881617.5327559,6279,16.640382766723633
1653881621.214547,6281,16.628076553344727
1653881634.3662956,6288,16.709077835083008
1653881648.8610656,6296,16.78293800354004
1653881651.1163228,6297,16.775938034057617
1653881656.1207838,6300,16.71491050720215
1653881682.33625,6314,16.46848487854004
1653881708.5761313,6328,16.272428512573242
1653881715.7497768,6332,16.33807945251465
1653881719.3847418,6334,16.353443145751953
1653881743.3094792,6347,16.448606491088867
1653881763.6343236,6358,16.405996322631836
1653881765.9059875,6359,16.412446975708008
1653881774.4702506,6364,16.428552627563477
1653881778.1859632,6366,16.448720932006836
1653881784.095601,6369,16.441070556640625
1653881852.511468,6406,16.581302642822266
1653881885.9671555,6424,17.354726791381836
1653881921.9901063,6443,17.601491928100586
1653881932.81204,6449,17.44707679748535
1653881950.8511665,6459,17.28461456298828
1653881976.9993253,6473,17.020774841308594
1653882010.5241158,6491,16.847362518310547
1653882015.455311,6494,16.792661666870117
1653882017.7426443,6495,16.79366111755371
1653882078.8855455,6528,15.238548278808594
1653882084.7347054,6531,15.054569244384766
1653882101.510284,6540,14.545470237731934
1653882112.2587147,6546,14.283145904541016
1653882121.754026,6551,14.194087028503418
1653882123.1085525,6552,14.146686553955078
1653882145.6499295,6564,13.871816635131836
1653882154.2272072,6569,13.822765350341797
1653882183.8748798,6585,13.492572784423828
1653882193.2549863,6590,13.506691932678223
1653882202.6424203,6595,13.544816017150879
1653882209.8108072,6599,13.664301872253418
1653882239.4835749,6615,14.120218276977539
1653882264.8338919,6629,14.364401817321777
1653882301.5662177,6649,15.520928382873535
1653882323.9228847,6661,16.094501495361328
1653882345.3734272,6673,16.469501495361328
1653882409.2634888,6708,17.237346649169922
1653882422.1781323,6715,17.131803512573242
1653882431.5968375,6720,17.342775344848633
1653882435.167631,6722,17.480085372924805
1653882438.7233043,6724,17.473085403442383
1653882450.3210793,6730,17.454750061035156
1653882457.4179912,6734,17.31308937072754
1653882485.9774406,6750,17.341480255126953
1653882506.1364768,6761,17.450998306274414
1653882510.645616,6763,17.45568084716797
1653882534.3211174,6776,17.508020401000977
1653882550.7804892,6785,17.624860763549805
1653882581.8359885,6802,17.57579803466797
1653882616.0866158,6821,17.746910095214844
1653882634.8462074,6831,17.908931732177734
1653882645.4947252,6837,17.675254821777344
1653882654.7591455,6842,17.46584701538086
1653882658.3499439,6844,17.41964340209961
1653882669.0556734,6850,17.06599998474121
1653882685.6165402,6859,16.856794357299805
1653882715.1137462,6875,17.00201988220215
1653882786.5476458,6914,17.380481719970703
1653882790.155141,6916,17.350202560424805
1653882796.0156074,6919,17.40266227722168
1653882816.178972,6930,17.440414428710938
1653882829.0928783,6937,17.759309768676758
1653882869.3679078,6959,18.471647262573242
1653882898.990832,6975,18.304018020629883
1653882927.604536,6991,18.417152404785156
1653882937.1077378,6996,18.0726261138916
1653882940.6406198,6998,18.09197425842285
1653882946.4489439,7001,18.10394859313965
1653882966.694908,7012,17.957307815551758
1653882977.422466,7018,17.95579719543457
1653882995.398117,7028,17.8909912109375
1653882997.662644,7029,17.875200271606445
1653883024.8761837,7044,17.907602310180664
1653883041.370169,7053,17.819955825805664
1653883043.6422467,7054,17.813152313232422
1653883104.2159135,7087,17.700468063354492
1653883145.9884026,7110,17.86979866027832
1653883159.017158,7117,17.700037002563477
1653883164.904672,7120,17.657438278198242
1653883175.7232552,7126,17.685775756835938
1653883245.9457014,7164,17.383277893066406
1653883269.6350527,7177,17.098398208618164
1653883271.8798034,7178,17.106849670410156
1653883275.4598317,7180,17.117998123168945
1653883286.2389147,7186,17.10474395751953
1653883292.034098,7189,17.12397575378418
1653883324.4740467,7207,17.06572151184082
1653883357.6773207,7225,17.15469741821289
1653883401.6634881,7249,17.213394165039062
1653883409.8129728,7253,17.22515106201172
1653883431.3817563,7265,17.46043586730957
1653883448.0259051,7274,17.386030197143555
1653883482.7862506,7293,17.415260314941406
1653883499.4312658,7302,17.490985870361328
1653883511.1747131,7308,17.492372512817383
1653883559.204279,7334,17.41135597229004
1653883566.4783528,7338,17.436037063598633
1653883570.0738482,7340,17.427879333496094
1653883594.0473335,7353,17.38616371154785
1653883603.5489538,7358,17.41973114013672
1653883613.035046,7363,17.440114974975586
1653883620.2643518,7367,17.538496017456055
1653883638.3356066,7377,17.937206268310547
1653883653.8447614,7385,17.89543342590332
1653883712.6492813,7417,18.227523803710938
1653883725.8898478,7424,18.314409255981445
1653883746.610003,7435,18.48746681213379
1653883748.91764,7436,18.47867202758789
1653883753.9805324,7439,18.51028823852539
1653883759.8325434,7442,18.577289581298828
1653883793.5065536,7460,19.025985717773438
1653883800.79672,7464,18.93453598022461
1653883808.1366107,7468,18.911104202270508
1653883811.7700043,7470,18.904726028442383
1653883834.517532,7482,19.012523651123047
1653883879.417922,7506,19.387550354003906
1653883901.5083687,7518,19.64671516418457
1653883917.0504692,7526,19.69879913330078
1653883928.056994,7532,19.828041076660156
1653883948.5978565,7543,20.146373748779297
1653883964.044187,7551,19.8218936920166
1653883967.6190388,7553,19.70402717590332
1653883978.436867,7559,19.689571380615234
1653883989.3916106,7565,19.881366729736328
1653884012.0823984,7577,19.99740982055664
1653884041.3836946,7593,19.912517547607422
1653884054.6365638,7600,19.952472686767578
1653884058.3111458,7602,19.929473876953125
1653884061.983768,7604,19.9161319732666
1653884067.9181411,7607,19.91450309753418
1653884125.827153,7638,18.342458724975586
1653884128.1131136,7639,18.15695571899414
1653884136.7456388,7644,17.64357566833496
1653884163.1379628,7658,17.23648452758789
1653884166.7963464,7660,17.040796279907227
1653884169.120305,7661,16.986989974975586
1653884213.9536488,7685,15.520485877990723
1653884280.9496171,7721,13.981690406799316
1653884292.9018888,7727,14.005348205566406
1653884294.2795174,7728,14.084770202636719
1653884297.9483082,7730,14.285590171813965
1653884347.4994094,7756,15.063774108886719
1653884348.8979893,7757,15.074257850646973
1653884354.8798795,7760,15.154372215270996
1653884356.2363892,7761,15.121658325195312
1653884418.370938,7794,14.987016677856445
1653884420.7041705,7795,14.970420837402344
1653884447.4331586,7809,15.375699043273926
1653884469.542043,7821,15.835426330566406
1653884501.2191653,7838,16.57954216003418
1653884509.5736809,7842,16.860013961791992
1653884524.5347273,7850,17.275869369506836
1653884534.222937,7855,17.619590759277344
1653884535.6026235,7856,17.620655059814453
1653884547.6597216,7862,17.69584083557129
1653884585.4265556,7882,18.981929779052734
1653884609.775361,7895,19.600881576538086
1653884620.8346965,7901,19.757061004638672
1653884649.042837,7916,19.769174575805664
1653884651.374283,7917,19.74617576599121
1653884668.5240223,7926,19.77442169189453
1653884672.1664977,7928,19.76154136657715
1653884673.528388,7929,19.743541717529297
1653884687.7232294,7936,19.733932495117188
1653884782.375799,7986,19.340120315551758
1653884858.3503535,8026,18.99725341796875
1653884864.4149027,8029,18.978567123413086
1653884865.7752979,8030,18.955228805541992
1653884870.520173,8032,18.906980514526367
1653884896.397932,8046,18.39415740966797
1653884912.0694501,8054,18.045257568359375
1653884932.7094986,8065,17.638830184936523
1653884954.63843,8077,17.396181106567383
1653884956.935402,8078,17.410181045532227
1653884970.1599324,8085,17.55508804321289
1653884990.9394689,8096,17.403074264526367
1653885039.5371761,8122,17.758934020996094
1653885054.0781476,8130,17.89192771911621
1653885076.991966,8142,18.260486602783203
1653885080.6324904,8144,18.400346755981445
1653885090.3015957,8149,18.548398971557617
1653885116.255737,8163,18.83334732055664
1653885118.5594506,8164,18.80495262145996
1653885122.2274363,8166,18.798810958862305
1653885157.5212364,8185,18.593278884887695
1653885170.9639542,8192,18.461528778076172
1653885185.6039116,8200,18.410198211669922
1653885187.9469464,8201,18.398197174072266
1653885216.1966658,8216,18.230091094970703
1653885218.4593499,8217,18.268686294555664
1653885240.583947,8229,18.0994873046875
1653885242.9462276,8230,18.1044864654541
1653885290.3872042,8255,18.122962951660156
1653885332.0294502,8277,18.82416534423828
1653885343.1023092,8283,18.598512649536133
1653885348.1214774,8286,18.53221321105957
1653885350.4710395,8287,18.556787490844727
1653885357.84474,8291,18.716243743896484
1653885367.504386,8296,18.62712860107422
1653885377.2862132,8301,18.55205535888672
1653885467.9517808,8349,19.073726654052734
1653885473.94397,8352,18.93606185913086
1653885494.9793532,8363,18.28596305847168
1653885500.0485168,8366,18.109375
1653885511.121257,8372,17.81420135498047
1653885520.849123,8377,17.914268493652344
1653885536.351377,8385,18.284900665283203
1653885558.4766576,8397,18.117324829101562
1653885585.4460418,8411,17.874881744384766
1653885595.1736252,8416,17.762842178344727
1653885632.1592968,8436,17.453723907470703
1653885669.9261851,8456,17.233280181884766
1653885672.2264144,8457,17.24507713317871
1653885679.593433,8461,17.425640106201172
1653885736.6648648,8491,17.27284049987793
1653885760.9037097,8504,17.2596378326416
1653885792.5111897,8521,16.788305282592773
1653885809.4222734,8530,16.947416305541992
1653885826.511439,8539,16.999296188354492
1653885843.5060265,8548,16.923480987548828
1653885854.3957975,8554,16.973562240600586
1653885856.7513566,8555,16.973562240600586
1653885871.3454583,8563,17.19656753540039
1653885942.6789765,8601,17.33111572265625
1653885951.362075,8606,17.287994384765625
1653885974.2078035,8618,17.464887619018555
1653885977.926498,8620,17.4661922454834
