time,Step,Reward
1653314065.6366193,43363,18.380359649658203
1653314068.2213998,43561,18.361265182495117
1653314073.4581442,43957,18.27117919921875
1653314074.7366798,44056,18.305490493774414
1653314077.3077328,44254,18.21585464477539
1653314082.4594648,44650,18.416046142578125
1653314085.105374,44848,18.44327735900879
1653314090.222838,45244,18.405149459838867
1653314095.461267,45640,18.495643615722656
1653314096.7629616,45739,18.43195152282715
1653314101.8727925,46135,18.364770889282227
1653314103.1424763,46234,18.43940544128418
1653314105.6768184,46432,18.432615280151367
1653314108.2234974,46630,18.479713439941406
1653314113.3458774,47026,18.597885131835938
1653314114.6032739,47125,18.59086036682129
1653314121.1107805,47620,18.74958610534668
1653314122.4137595,47719,18.853055953979492
1653314126.3104103,48016,18.921693801879883
1653314130.189316,48313,18.890064239501953
1653314131.4915948,48412,18.916954040527344
1653314132.810264,48511,18.882524490356445
1653314135.3845203,48709,18.98702621459961
1653314139.2484407,49006,19.077220916748047
1653314144.4927099,49402,19.205928802490234
1653314149.6405084,49798,19.26483726501465
1653314150.9104257,49897,19.30131721496582
1653314158.7676136,50491,19.488834381103516
1653314160.0451596,50590,19.456640243530273
1653314161.3179114,50689,19.377538681030273
1653314162.6012492,50788,19.376739501953125
1653314163.88776,50887,19.417591094970703
1653314165.1605673,50986,19.40704917907715
1653314169.0158982,51283,19.297039031982422
1653314170.327568,51382,19.355514526367188
1653314171.6413276,51481,19.382617950439453
1653314190.1620607,52867,19.369489669799805
1653314191.4888217,52966,19.452573776245117
1653314194.3346493,53164,19.55946922302246
1653314195.6685874,53263,19.610445022583008
1653314197.013647,53362,19.605283737182617
1653314199.7809641,53560,19.60982322692871
1653314202.6479075,53758,19.625633239746094
1653314205.5549269,53956,19.57013511657715
1653314208.6027813,54154,19.651113510131836
1653314210.1569328,54253,19.653366088867188
1653314214.6299965,54550,19.660409927368164
1653314217.245319,54748,19.75055694580078
1653314221.1605318,55045,19.79082679748535
1653314222.4645898,55144,19.796030044555664
1653314230.409145,55738,19.982276916503906
1653314231.7469678,55837,20.013465881347656
1653314233.0513113,55936,20.09520149230957
1653314238.2833724,56332,20.102556228637695
1653314242.2463534,56629,20.220674514770508
1653314244.896378,56827,20.158910751342773
1653314248.809792,57124,20.22135353088379
1653314254.099191,57520,20.334508895874023
1653314259.5183606,57916,20.454179763793945
1653314260.8236659,58015,20.508525848388672
1653314264.8270679,58312,20.608665466308594
1653314267.457153,58510,20.551786422729492
1653314268.7895453,58609,20.6038818359375
1653314272.7323308,58906,20.62082862854004
1653314275.3980262,59104,20.593822479248047
1653314278.0176296,59302,20.58251953125
1653314279.3332567,59401,20.63828468322754
1653314283.2522783,59698,20.71466064453125
1653314284.5907474,59797,20.720905303955078
1653314291.0615587,60292,20.755582809448242
1653314297.5751066,60787,20.823734283447266
1653314298.9663227,60886,20.85424041748047
1653314301.5836496,61084,20.91429901123047
1653314306.8799257,61480,20.942251205444336
1653314309.5918708,61678,21.003923416137695
1653314310.9123025,61777,21.074995040893555
1653314314.9337616,62074,20.979740142822266
1653314317.5275822,62272,20.933996200561523
1653314318.8426414,62371,20.971923828125
1653314324.1088846,62767,21.05805015563965
1653314329.3379521,63163,21.073585510253906
1653314333.3133826,63460,21.281824111938477
1653314334.641222,63559,21.357398986816406
1653314335.962749,63658,21.36113739013672
1653314337.2680216,63757,21.36224937438965
1653314338.5733685,63856,21.378198623657227
1653314345.210841,64351,21.5657958984375
1653314347.8676617,64549,21.62814712524414
1653314349.2110875,64648,21.621719360351562
1653314351.848062,64846,21.63972282409668
1653314353.165373,64945,21.650901794433594
1653314357.1667044,65242,21.671875
1653314359.8235505,65440,21.751148223876953
1653314369.0842366,66133,22.12462043762207
1653314373.089091,66430,22.22580337524414
1653314379.8391614,66925,22.27745819091797
1653314381.2335076,67024,22.266843795776367
1653314386.5204968,67420,22.270679473876953
1653314391.824532,67816,22.203893661499023
1653314395.857813,68113,22.202463150024414
1653314402.5693839,68608,22.321924209594727
1653314405.1791215,68806,22.341930389404297
